year,category,institute_id,name,city,state,tlr,rpc,go,oi,pr,score,rank,pdf_url,graph_url
2016,College,IR17-COLL-2-29111,Lady Shri Ram College for Women,New Delhi,Delhi,68.35,1.96,71.44,92.38,56.72,58.28,7,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-29111.pdf,
2016,College,IR17-COLL-1-19855,Dyal Singh College,New Delhi,Delhi,87.03,23.46,55.26,78.67,17.95,58.22,8,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-19855.pdf,
2016,College,IR17-COLL-2-20022,Deen Dayal Upadhyaya College,New Delhi,Delhi,80.06,32.26,55.35,85.46,9.25,58.06,9,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-20022.pdf,
2016,College,IR17-COLL-2-19443,The Women's Christian College,Chennai,Tamil Nadu,72.06,10.17,86.73,62.5,26.64,57.37,10,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-19443.pdf,
2016,College,IR17-COLL-2-818511,P.S.G. College of Arts & Science,District Coimbatore,Tamil Nadu,55.73,37.26,72.04,60.58,43.72,55.64,11,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-818511.pdf,
2016,College,IR17-COLL-2-967530,Madras Christian College,District Kancheepuram,Tamil Nadu,74.34,26.16,52.96,63.31,51.7,55.44,12,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-967530.pdf,
2016,College,IR17-COLL-1-18824,Ayya Nadar Janaki Ammal College,District Virudhnagar,Tamil Nadu,65.19,21.87,72.01,65.88,28.14,54.62,13,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-18824.pdf,
2016,College,IR17-COLL-1-819241,P.S.G.R. Krishnammal College for Women,District Coimbatore,Tamil Nadu,68.11,15.64,70.73,63.13,32.56,53.97,14,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-819241.pdf,
2016,College,IR17-COLL-2-20024,Keshav Mahavidyalya,Delhi,Delhi,76.34,21.49,60.62,72.31,0.11,53.21,15,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-20024.pdf,
2016,College,IR17-COLL-1-15094,Ethiraj College for Women,Chennai,Tamil Nadu,57.67,7.02,77.01,60.57,58.21,52.85,16,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-15094.pdf,
2016,College,IR17-COLL-2-21140,Christ College (Autonomous),Thrissur,Kerala,70.8,5.47,77.83,67.69,6.82,52.62,17,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-21140.pdf,
2016,College,IR17-COLL-1-29161,Loreto College,Calcutta-16,West Bengal,68.59,1.18,75.82,69.09,17.16,51.85,18,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-29161.pdf,
2016,College,IR17-COLL-1-24821,Kongunadu Arts & Science College,District Coimbatore,Tamil Nadu,54.49,46.4,64.49,62.95,6.5,51.84,19,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-24821.pdf,
2016,College,IR17-COLL-1-19833,Acharya Narendra Dev College,Kalkaji,Delhi,73.43,7.07,55.5,87.62,6.13,51.06,20,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-19833.pdf,
