year,category,band,institute_id,name,city,state
2016,Engineering,,,Dav Institute of Engineering & Technology,Jalandhar,Punjab
2016,Engineering,,,Dayananda Sagar Academy of Technology & Management Technical Campus,Bengaluru,Karnataka
2016,Engineering,,,Dayananda Sagar College of Engineering,Bengaluru,Karnataka
2016,Engineering,,,Deen Bandhu Chhotu Ram University of Sciences & Technology,Murthal,Haryana
2016,Engineering,,,Defence Institute of Advanced Technology,"Khadakwasala, Pune",Maharashtra
2016,Engineering,,,Degree College of Physical Education,Dist. Amravati,Maharashtra
2016,Engineering,,,Delhi Institute of Tool Engineering,Delhi,Delhi
2016,Engineering,,,Delhi Technological University,New Delhi,Delhi
2016,Engineering,,,Deogiri Technical Campus for Engineering and Management Studies,Aurangabad,Maharashtra
2016,Engineering,,,DESH BHAGAT UNIVERSITY-GOBINDGARH,Gobindgarh,Punjab
2016,Engineering,,,Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh
2016,Engineering,,,Dhanalakshmi College of Engineering,Manimangalam,Tamil Nadu
2016,Engineering,,,Dhanalakshmi Srinivasan College of Engineering,Coimbatore,Tamil Nadu
2016,Engineering,,,Dhanekula Institute of Engineering & Technology,Vijayawada,Andhra Pradesh
2016,Engineering,,,Dharmsinh Desai University,Nadiad,Gujarat
2016,Engineering,,,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat
2016,Engineering,,,"Dhole Patil Education Society's, Dhole Patil College of Engineering.",Pune,Maharashtra
2016,Engineering,,,Dibrugarh University Institute of Engineering and Technology,Dibrugarh,Assam
2016,Engineering,,,Disha Institute of Management and Technology (Be),Raipur,Chhattisgarh
2016,Engineering,,,Dnr College of Engineering & Technology,Bhimavaram-2,Andhra Pradesh
2016,Engineering,,,Don Bosco College of Engineering and Technology,Guwahati,Assam
2016,Engineering,,,Dr Babasaheb Ambedkar Technological University Lonere,Lonere,Maharashtra
2016,Engineering,,,Dr Lankapalli Bullayya College of Engineering (For Women),Visakhapatnam,Andhra Pradesh
2016,Engineering,,,Dr N.G.P.Institute of Technology,Coimbatore,Tamil Nadu
2016,Engineering,,,Dr Samuel George Institute of Engineering & Technology,Markapur,Andhra Pradesh
2016,Engineering,,,Dr. Ambedkar Institute of Technology,Bengaluru,Karnataka
2016,Engineering,,,"Dr. Ambedkar Institute of Technology for Handicapped, U.P.",Kanpur,Uttar Pradesh
2016,Engineering,,,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab
2016,Engineering,,,Dr. B.R. Ambedkar Institute of Technology,Port Blair,Andaman And Nicobar Islands
2016,Engineering,,,"Dr. Babasaheb Ambedkar College of Engineering and Research,",Nagpur,Maharashtra
2016,Engineering,,,Dr. D. Y. Patil Institute of Technology,Pimpri,Maharashtra
2016,Engineering,,,Dr. Mahalingam College of Engineering and Technology,Pollachi,Tamil Nadu
2016,Engineering,,,"Dr. S. & S. S. Ghandhy Government Engineering College, Surat.",Surat,Gujarat
2016,Engineering,,,Dr. S.J.S. Paul Memorial College of Engineering and Technology,Puducherry,Pondicherry
2016,Engineering,,,Dr. Sivanthi Aditanar College of Engineering,Tiruchendur,Tamil Nadu
2016,Engineering,,,Dr. Sudhir Chandra Sur Degree Engineering College,Kolkata,West Bengal
2016,Engineering,,,Dr.D.Y.Patil School of Engineering and Technology,Pune,Maharashtra
2016,Engineering,,,Dr.K.V.Subba Reddy Institute of Technology,Kurnool,Andhra Pradesh
2016,Engineering,,,"Dr.S.S. Bhatnagar University Institute of Chemical Engg. & Tech., Panjab University, Chandigarh.",Chandigarh,Chandigarh
2016,Engineering,,,Dream Institute of Technology,Kolkata,West Bengal
2016,Engineering,,,Driems,Kairapari,Odisha
2016,Engineering,,,Dronacharya College of Engineering,Gurgaon,Haryana
2016,Engineering,,,Dronacharya Group of Institutions,Greater Noida,Uttar Pradesh
2016,Engineering,,,E.G.S. Pillay Engineering College,Nagapattinam,Tamil Nadu
2016,Engineering,,,E.G.S. Pillay Engineering College (MCA),Nagapattinam,Tamil Nadu
2016,Engineering,,,East West Institute of Technology,Bengaluru,Karnataka
2016,Engineering,,,Easwari Engineering College,Chennai,Tamil Nadu
2016,Engineering,,,ELECTRONIC SCIENCE DEPARTMENT,Kurukshetra,Haryana
2016,Engineering,,,Eluru College of Engineering & Technology,Eluru,Andhra Pradesh
2016,Engineering,,,Erode Builder Educational Trust's Group of Institutions,Kangeyam,Tamil Nadu
2016,Engineering,,,Erode Sengunthar Engineering College,Erode,Tamil Nadu
2016,Engineering,,,Excel College of Engineering & Technology,Komarapalayam,Tamil Nadu
2016,Engineering,,,Excel Engineering College,Pallakapalayam,Tamil Nadu
2016,Engineering,,,"Faculty of Technology & Engineering, The Maharaja Sayajirao University of Baroda",Vadodara,Gujarat
2016,Engineering,,,Feroze Gandhi Institute of Engg. & Technology,Raebareli,Uttar Pradesh
2016,Engineering,,,Finolex Academy of Management and Technology,Ratnagiri,Maharashtra
2016,Engineering,,,Fr. C. Rodrigues Institute of Technology,"Vashi, Navi Mumbai",Maharashtra
2016,Engineering,,,Fr. Conceicao Rodrigues College of Engineering,Mumbai,Maharashtra
2016,Engineering,,,Francis Xavier Engineering College,Tirunelveli,Tamil Nadu
2016,Engineering,,,Future Institute of Engineering and Management,Kolkata,West Bengal
2016,Engineering,,,G K M College of Engineering and Technology,Chennai,Tamil Nadu
2016,Engineering,,,G L A University,Mathura,Uttar Pradesh
2016,Engineering,,,"G. H. Raisoni College of Engineering, Nagpur",Nagpur,Maharashtra
2016,Engineering,,,G. H. Raisoni Institute of Engineering & Technology,Nagpur,Maharashtra
2016,Engineering,,,G.B. Pant Govt. Engineering College,Delhi,Delhi
2016,Engineering,,,G.H. Raisoni Academy of Engineering & Technology,Nagpur-28,Maharashtra
2016,Engineering,,,"G.H. Raisoni College of Engineering and Management, Amravati",Amravati,Maharashtra
2016,Engineering,,,G.H. Raisoni Institute of Engineering & Technology,Pune,Maharashtra
2016,Engineering,,,G.H.Raisoni College of Engineering & Management,Pune,Maharashtra
2016,Engineering,,,G.H.Raisoni College of Engineering and Management,Ahmednagar,Maharashtra
2016,Engineering,,,"G.Narayanamma Institute of Technology & Science, for Women",Hyderabad,Telangana
2016,Engineering,,,G.Pulla Reddy Engineering College,Kurnool,Andhra Pradesh
2016,Engineering,,,G.Pullaiah College of Engineering and Technology,Kurnool,Andhra Pradesh
2016,Engineering,,,G.V.R & S College of Engineering & Technology,Guntur,Andhra Pradesh
2016,Engineering,,,Galgotias University,Gautam Budh Nagar,Uttar Pradesh
2016,Engineering,,,"Gandhi Engieering College(Gec, Bhubaneswar)",Bhubaneswar,Odisha
2016,Engineering,,,"Gandhi Institute for Technological Advancement (GITA), Bhubaneswar",Bhubaneswar,Odisha
2016,Engineering,,,"Gandhi Institute for Technology(Gift), Bhubaneswar",Bhubaneswar,Odisha
2016,Engineering,,,Gandhi Institute of Engineering and Technology,Gunupur,Odisha
2016,Engineering,,,Gandhi Institute of Excellent Technocrats,Bhubaneswar,Odisha
2016,Engineering,,,Gandhiji Institute of Science and Technology,Jaggayyapet,Andhra Pradesh
